"Transaction ID","Amount","Date","Email","Phone","Country","Payment Mode"
"TX100048",582,"2025-08-23","user48@gmail.com","9172370545","India","UPI"
"TX100588",3487,"2025-11-04","user588@gmail.com","9395444277","India","UPI"
"TX100434",776,"2026-03-11","user434@gmail.com","9184747224","India","Wallet"
"TX000001",1466,"2025-04-26","user96@gmail.com","9242283221","India","UPI"
"TX100259",2180,"2026-04-16","user259@gmail.com","9374154962","India","UPI"
"TX100622",4459,"2026-02-26","user622@gmail.com","9112724887","India","UPI"
"TX100247",2873,"2026-02-12","user247@gmail.com","9797756796","India","UPI"
"TX100438",1465,"2026-03-31","user438@gmail.com","9477470703","India","Wallet"
"TX100883",1432,"2026-04-08","user883@gmail.com","9179144854","India","UPI"
"TX100651",3291,"2025-11-21","user651@gmail.com","9487298927","India","UPI"
"TX100031",4434,"2025-09-15","user31@gmail.com","9694021782","India","UPI"
"TX100052",3434,"2025-07-14","user52@gmail.com","9201281557","India","UPI"
"TX100295",850,"2025-08-06","user295@gmail.com","9789024924","India","UPI"
"TX100505",2551,"2025-12-11","user505@gmail.com","9644725317","India","Wallet"
"TX100088",4619,"2026-03-14","user88@gmail.com","9702269164","India","UPI"
"TX100504",2786,"2025-11-23","user504@gmail.com","9274485243","India","Wallet"
"TX100288",3283,"2026-04-10","user288@gmail.com","9498370582","India","Wallet"
"TX100875",2717,"2025-06-21","user875@gmail.com","9783100341","India","UPI"
"TX100267",4736,"2025-02-20","user267@gmail.com","9751124015","India","Wallet"
"TX100809",1700,"2025-09-09","user809@gmail.com","9261669421","India","UPI"
"TX100775",1181,"2026-02-01","user775@gmail.com","9710293796","India","Wallet"
"TX100525",2479,"2025-02-13","user525@gmail.com","9408840720","India","UPI"
"TX100005",4564,"2026-03-06","user5@gmail.com","9336696312","India","Wallet"
"TX100139",1794,"2026-03-07","user139@gmail.com","9518197538","India","UPI"
"TX100878",2971,"2025-09-20","user878@gmail.com","9945056299","India","UPI"
"TX100445",3785,"2026-01-15","user445@gmail.com","9499446327","India","Wallet"
"TX100670",4024,"2025-11-18","user670@gmail.com","9290736564","India","Wallet"
"TX100568",471,"2026-03-10","user568@gmail.com","9469935052","India","UPI"
"TX100270",1220,"2025-04-10","user270@gmail.com","9773728014","India","UPI"
"TX100340",1008,"2025-10-18","user340@gmail.com","9828230915","India","Wallet"
"TX100652",849,"2025-01-06","user652@gmail.com","9430999662","India","Wallet"
"TX100107",2931,"2025-11-18","user107@gmail.com","9568574364","India","UPI"
"TX100102",3364,"2025-12-03","user102@gmail.com","9399147754","India","UPI"
"TX100887",4581,"2025-04-06","user887@gmail.com","9462871672","India","Wallet"
"TX100675",4606,"2025-01-28","user675@gmail.com","9880839406","India","Wallet"
"TX100350",4797,"2026-02-19","user350@gmail.com","9861818706","India","Wallet"
"TX100508",3512,"2025-11-12","user508@gmail.com","9955508961","India","UPI"
"TX100112",4254,"2025-11-13","user112@gmail.com","9816070802","India","Wallet"
"TX100354",2093,"2026-03-23","user354@gmail.com","9732295732","India","Wallet"
"TX100215",4895,"2026-03-23","user215@gmail.com","9781594897","India","Wallet"
"TX100692",2953,"2025-11-16","user692@gmail.com","9468365044","India","Wallet"
"TX100840",4164,"2025-01-31","user840@gmail.com","9510952606","India","Wallet"
"TX100484",2130,"2025-05-25","user484@gmail.com","9203950725","India","UPI"
"TX100293",4560,"2026-01-03","user293@gmail.com","9165015165","India","Wallet"
"TX100724",4733,"2026-05-23","user724@gmail.com","9690263993","India","UPI"
"TX100199",1386,"2025-09-03","user199@gmail.com","9286630878","India","UPI"
"TX100720",3451,"2026-05-19","user720@gmail.com","9546279777","India","Wallet"
"TX100410",2046,"2025-11-05","user410@gmail.com","9230833665","India","UPI"
"TX100731",1819,"2025-12-26","user731@gmail.com","9863166250","India","Wallet"
"TX100726",4540,"2025-02-12","user726@gmail.com","9916048218","India","Wallet"
"TX100745",618,"2026-02-12","user745@gmail.com","9333893106","India","Wallet"
"TX100175",4102,"2025-09-04","user175@gmail.com","9841536135","India","Wallet"
"TX100029",1410,"2026-03-09","user29@gmail.com","9740389325","India","UPI"
"TX100336",1389,"2025-02-20","user336@gmail.com","9823668399","India","UPI"
"TX100607",3917,"2025-04-11","user607@gmail.com","9962017778","India","Wallet"
"TX100327",4803,"2025-08-20","user327@gmail.com","9966747347","India","Wallet"
"TX100078",3127,"2025-10-19","user78@gmail.com","9269379374","India","Wallet"
"TX100491",4878,"2025-12-28","user491@gmail.com","9152246275","India","UPI"
"TX100421",4866,"2025-12-07","user421@gmail.com","9243247463","India","UPI"
"TX100143",2335,"2026-03-23","user143@gmail.com","9621454127","India","UPI"
"TX100533",142,"2025-06-11","user533@gmail.com","9536913550","India","Wallet"
"TX100412",614,"2025-04-24","user412@gmail.com","9998386592","India","Wallet"
"TX100592",3444,"2025-06-02","user592@gmail.com","9422002819","India","Wallet"
"TX100792",2328,"2025-03-07","user792@gmail.com","9382340033","India","UPI"
"TX100365",2350,"2025-02-27","user365@gmail.com","9477895080","India","UPI"
"TX100772",2060,"2026-05-22","user772@gmail.com","9514341484","India","UPI"
"TX100415",2990,"2025-09-04","user415@gmail.com","9712745501","India","Wallet"
"TX100893",3318,"2026-05-18","user893@gmail.com","9264915937","India","UPI"
"TX100880",3537,"2025-06-20","user880@gmail.com","9544549689","India","Wallet"
"TX100424",1204,"2025-03-06","user424@gmail.com","9868847524","India","Wallet"
"TX100529",4907,"2025-09-03","user529@gmail.com","9360337343","India","UPI"
