"Transaction ID","Amount","Date","Email","Phone","Country","Payment Mode"
"TX1001",1200,"2026-06-01","rahul@gmail.com","9876543210","India","UPI"
"TX1002",850,"2026-06-02","priya@yahoo.com","9123456789","India","Credit Card"
"TX1003",500,"2026-06-03","arjun@gmail.com","8123456789","India","Wallet"
"TX1004",1500,"2026-06-04","sneha@gmail.com","7123456789","India","Debit Card"
"TX1005",2300,"2026-06-05","vivek@gmail.com","9988776655","India","Net Banking"
"TX1015",2200,"2026-06-15","simran@gmail.com","9876543214","India","Wallet"
"TX1016",800,"2026-06-16","ankit@gmail.com","9876543215","India","UPI"
"TX1017",950,"2026-06-17","rohit@gmail.com","9876543216","India","Debit Card"
"TX1018",1700,"2026-06-18","neha@gmail.com","9876543217","India","Net Banking"
"TX1019",2400,"2026-06-19","sonal@gmail.com","9876543218","India","Wallet"
"TX1020",1250,"2026-06-20","rahul2@gmail.com","9876543219","India","UPI"
"TX1021",1000,"2026-06-21","user1@gmail.com","8765432101","India","UPI"
"TX1022",1100,"2026-06-22","user2@gmail.com","8765432102","India","Wallet"
"TX1023",1200,"2026-06-23","user3@gmail.com","8765432103","India","Credit Card"
"TX1024",1300,"2026-06-24","user4@gmail.com","8765432104","India","Debit Card"
"TX1025",1400,"2026-06-25","user5@gmail.com","8765432105","India","Net Banking"
"TX1026",1500,"2026-06-26","user6@gmail.com","8765432106","India","UPI"
"TX1027",1600,"2026-06-27","user7@gmail.com","8765432107","India","Wallet"
"TX1028",1700,"2026-06-28","user8@gmail.com","8765432108","India","Credit Card"
"TX1029",1800,"2026-06-29","user9@gmail.com","8765432109","India","Debit Card"
"TX1030",1900,"2026-06-30","user10@gmail.com","8765432110","India","Net Banking"
"TX1032",600,"2026-07-02","user12@gmail.com","87654321","Singapore","Wallet"
"TX1034",800,"2026-07-04","user14@gmail.com","87654322","Singapore","Debit Card"
"TX1035",900,"2026-07-05","user15@gmail.com","87654323","Singapore","Net Banking"
"TX1037",1100,"2026-07-07","user17@gmail.com","87654325","Singapore","Wallet"
"TX1038",1200,"2026-07-08","user18@gmail.com","87654326","Singapore","Credit Card"
"TX1039",1300,"2026-07-09","user19@gmail.com","87654327","Singapore","Debit Card"
"TX1040",1400,"2026-07-10","user20@gmail.com","87654328","Singapore","Net Banking"
"TX1041",1500,"2026-07-11","user21@gmail.com","87654329","Singapore","UPI"
"TX1042",1600,"2026-07-12","user22@gmail.com","87654330","Singapore","Wallet"
"TX1043",1700,"2026-07-13","user23@gmail.com","87654331","Singapore","Credit Card"
"TX1044",1800,"2026-07-14","user24@gmail.com","87654332","Singapore","Debit Card"
"TX1045",1900,"2026-07-15","user25@gmail.com","87654333","Singapore","Net Banking"
"TX1046",2000,"2026-07-16","user26@gmail.com","87654334","Singapore","UPI"
"TX1047",2100,"2026-07-17","user27@gmail.com","87654335","Singapore","Wallet"
"TX1048",2200,"2026-07-18","user28@gmail.com","87654336","Singapore","Credit Card"
"TX1049",2300,"2026-07-19","user29@gmail.com","87654337","Singapore","Debit Card"
